# Incremental upstream inventory — 2026-09-23

Base inventory: `UPSTREAM-INVENTORY-20260922.tsv` at `1c0a69c0ceddb2fd21581c17ab09f6c500b89ba1`. Current upstream/main: `20a94fbb567b62208751292ed7786b24a7e7c0fe`. This file lists newly reachable non-empty commits only; empty merge wrappers are excluded by `upstream-daily.mjs`. Each `review` row still requires a TAKE/HAND-MERGE/SKIP disposition.

Columns: sha | date | route-hint | state | backend-files | frontend-files | other-files | subject | affected-paths
sha	date	route-hint	state	backend-files	frontend-files	other-files	subject	affected-paths
f3a2dcabb	2026-09-19	NEW	review	0	2	0	fix(users): ignore superseded balance history requests	frontend/src/components/admin/user/UserBalanceHistoryModal.vue;frontend/src/components/admin/user/__tests__/UserBalanceHistoryModal.spec.ts
cd2a4357c	2026-09-19	NEW	review	0	2	0	fix(groups): reject negative custom rates before adding	frontend/src/components/admin/group/GroupRateMultipliersModal.vue;frontend/src/components/admin/group/__tests__/GroupRateMultipliersModal.spec.ts
1411b7eb7	2026-09-20	MERGE	review	2	0	0	fix(gateway): recognize Baseten reasoning budget errors	backend/internal/service/gateway_request.go;backend/internal/service/gateway_thinking_budget_test.go
fabdfb8a5	2026-09-20	REBUILD	review	0	4	0	fix(frontend): ensure Codex base URLs include /v1	frontend/src/components/keys/UseKeyModal.vue;frontend/src/components/keys/__tests__/UseKeyModal.spec.ts;frontend/src/utils/__tests__/ccswitchImport.spec.ts;frontend/src/utils/ccswitchImport.ts
63c079d87	2026-09-20	MERGE	review	2	0	0	fix(account): preserve settings on OAuth reauth	backend/internal/handler/admin/account_handler.go;backend/internal/handler/admin/account_handler_long_context_billing_test.go
158234720	2026-09-20	REBUILD	review	0	2	0	fix(payment): trim callback base URL trailing slashes	frontend/src/components/payment/PaymentProviderDialog.vue;frontend/src/components/payment/__tests__/PaymentProviderDialog.spec.ts
23a1d3818	2026-09-20	REBUILD	review	0	2	0	fix(pricing): parse scientific notation in token bounds	frontend/src/components/admin/channel/IntervalRow.vue;frontend/src/components/admin/channel/__tests__/IntervalRow.spec.ts
319299519	2026-09-20	NEW	review	0	3	0	fix(monitor): preserve the saved auto-refresh preference	frontend/src/composables/useAutoRefresh.ts;frontend/src/views/user/ChannelStatusV1View.vue;frontend/src/views/user/__tests__/ChannelStatusV1View.refresh.spec.ts
b86849e44	2026-09-20	NEW	review	0	2	0	fix(usage): ignore superseded error detail requests	frontend/src/components/user/UserErrorDetailModal.vue;frontend/src/components/user/__tests__/UserErrorDetailModal.spec.ts
7f18f3e9a	2026-09-20	NEW	review	0	2	0	fix(users): keep API key results scoped to the selected user	frontend/src/components/admin/user/UserApiKeysModal.vue;frontend/src/components/admin/user/__tests__/UserApiKeysModal.spec.ts
763443abf	2026-09-20	MERGE	review	4	0	0	fix(openai): 改写 Codex turn metadata 时保留非 ASCII 转义	backend/internal/service/openai_codex_account_identity.go;backend/internal/service/openai_codex_fingerprint.go;backend/internal/service/openai_codex_turn_metadata.go;backend/internal/service/openai_codex_turn_metadata_test.go
8d88b6666	2026-09-16	MERGE	review	4	0	0	fix(openai): 补齐非高级调度选号决策标签	backend/internal/service/gateway_service.go;backend/internal/service/openai_account_scheduler.go;backend/internal/service/openai_gateway_scheduling.go;backend/internal/service/openai_legacy_scheduler_decision_test.go
0d0200059	2026-09-20	MERGE	review	2	0	0	fix(openai): 非高级调度按 previous_response 路由到持有响应的账号	backend/internal/service/openai_account_scheduler.go;backend/internal/service/openai_legacy_scheduler_decision_test.go
992c4f4b8	2026-09-21	MERGE	review	0	0	1	test(frontend): run platform quota modal spec in CI	Makefile
de98bdff1	2026-09-21	MERGE	review	5	0	0	fix(images): preserve insufficient balance failures	backend/internal/handler/openai_gateway_handler.go;backend/internal/handler/openai_images_balance_test.go;backend/internal/service/openai_images.go;backend/internal/service/openai_images_balance.go;backend/internal/service/openai_images_balance_test.go
60a64568b	2026-09-21	MERGE	review	0	0	1	ci: run simple mode compose environment test	.github/workflows/backend-ci.yml
386f321d3	2026-09-21	REBUILD	review	0	2	0	fix(usage): export missing reasoning effort cleanly	frontend/src/views/user/UsageView.vue;frontend/src/views/user/__tests__/UsageView.spec.ts
d0ed0eaca	2026-09-21	MERGE	review	5	0	0	fix(gemini): 传输层错误转 failover,不再同账号退避重试	backend/internal/service/gateway_upstream_transport_error.go;backend/internal/service/gemini_chat_completions_compat_service.go;backend/internal/service/gemini_messages_compat_service.go;backend/internal/service/gemini_upstream_transport_error.go;backend/internal/service/gemini_upstream_transport_error_test.go
27f4398b5	2026-09-21	MERGE	review	6	0	0	fix(antigravity): 裸 Gemini 模型名在所有转发入口解析到思考变体	backend/internal/service/antigravity_gateway_claude.go;backend/internal/service/antigravity_gateway_compat.go;backend/internal/service/antigravity_gateway_gemini.go;backend/internal/service/antigravity_gateway_service.go;backend/internal/service/antigravity_gemini_thinking_variant.go;backend/internal/service/antigravity_gemini_thinking_variant_test.go
935db6851	2026-09-22	REBUILD	review	11	1	0	feat(grok):add grok 4.7 support	backend/internal/handler/gateway_handler.go;backend/internal/pkg/xai/models.go;backend/internal/pkg/xai/models_test.go;backend/internal/service/billing_service.go;backend/internal/service/billing_service_test.go;backend/internal/service/openai_codex_models_service.go;backend/internal/service/openai_gateway_grok.go;backend/internal/service/openai_gateway_grok_chat_bridge.go;backend/internal/service/opencode_go.go;backend/internal/service/upstream_response_model.go;backend/resources/model-pricing/model_prices_and_context_window.json;frontend/src/composables/useModelWhitelist.ts
7f1f85cb7	2026-08-09	MERGE	review	3	0	0	fix(gemini): stop cooling Vertex 429s until PST midnight, honor RetryInfo	backend/internal/service/gemini_error_policy_test.go;backend/internal/service/gemini_messages_compat_service.go;backend/internal/service/gemini_messages_compat_service_test.go
e35123b8a	2026-09-22	MERGE	review	3	0	0	fix(codex): include OpenCode Go in model capability resolution	backend/internal/service/openai_codex_model_metadata_test.go;backend/internal/service/openai_codex_models_service.go;backend/internal/service/openai_codex_models_service_test.go
b754ff6f1	2026-09-22	MERGE	review	2	0	0	fix(proxies): invalidate billing probe on fallback restore	backend/internal/repository/account_repo.go;backend/internal/repository/proxy_restore_probe_integration_test.go
85ed17b31	2026-09-22	MERGE	review	3	0	0	fix(subscriptions): lock negative redemption updates	backend/internal/repository/redeem_reduction_lock_integration_test.go;backend/internal/service/redeem_service.go;backend/internal/service/redeem_subscription_reduction_lock_test.go
0c0df031c	2026-09-22	MERGE	review	3	0	0	fix(subscriptions): preserve partial days during redemption deductions	backend/internal/repository/redeem_reduction_remainder_integration_test.go;backend/internal/service/redeem_service.go;backend/internal/service/redeem_subscription_reduction_remainder_test.go
fa79b1ebc	2026-09-22	MERGE	review	10	0	0	fix(gateway): prevent Cloudflare 1010 from disabling OpenCode and Command Code accounts	backend/internal/service/account_test_service.go;backend/internal/service/account_test_service_cn_adaptive.go;backend/internal/service/openai_gateway_cc_pipeline.go;backend/internal/service/openai_gateway_forward.go;backend/internal/service/openai_gateway_messages_anthropic_native.go;backend/internal/service/openai_gateway_passthrough.go;backend/internal/service/openai_opencode_session.go;backend/internal/service/openai_opencode_session_test.go;backend/internal/service/ratelimit_service.go;backend/internal/service/ratelimit_service_403_html_test.go
7fbc59eb6	2026-09-22	MERGE	review	3	0	0	fix: 选号读取分组时不再聚合账号数	backend/internal/service/gateway_multiplatform_test.go;backend/internal/service/gateway_scheduling.go;backend/internal/service/openai_account_scheduler.go
405727805	2026-09-22	MERGE	review	1	0	0	Merge pull request #7477 from Pluviobyte/codex/fix-subscription-reduction-remainder	backend/internal/service/redeem_service.go
9d9e90960	2026-09-22	MERGE	review	2	0	0	Merge pull request #7448 from feeeei/fix/gemini-transport-error-failover	backend/internal/service/gemini_chat_completions_compat_service.go;backend/internal/service/gemini_messages_compat_service.go
3442a6a53	2026-09-22	MERGE	review	1	0	0	Merge pull request #7432 from doublepi123/fix/antigravity-compat-bare-gemini-model	backend/internal/service/antigravity_gateway_gemini.go
483cd5692	2026-09-22	MERGE	review	0	0	1	Merge pull request #7361 from wucm667/feat/issue-7357-optional-default-groups	.github/workflows/backend-ci.yml
1716e9915	2026-09-22	MERGE	review	1	0	0	Merge pull request #7466 from nagi330/add_grok4-7_support-0922	backend/internal/service/openai_codex_models_service.go
66843cc95	2026-09-22	MERGE	review	2	0	0	fix(moderation): handle trailing Anthropic system messages	backend/internal/service/content_moderation_input.go;backend/internal/service/content_moderation_input_test.go
a5d8db244	2026-09-22	MERGE	review	2	0	0	fix(responses): strip oversized input item IDs	backend/internal/service/openai_responses_item_id.go;backend/internal/service/openai_responses_item_id_test.go
e7d348868	2026-09-22	REBUILD	review	0	1	0	Merge pull request #7264 from ouchihao/codex/bug-antigravity-mapping-retry	frontend/src/composables/useModelWhitelist.ts
a5015e1fc	2026-09-22	MERGE	review	1	0	0	Merge pull request #7354 from baryon/contrib/codex-deepseek-input-image-url	backend/internal/service/openai_gateway_request_body.go
b717ac7f0	2026-09-22	MERGE	review	0	0	1	Merge pull request #7289 from wucm667/fix/issue-7281-platform-quota-options	Makefile
231e72fdd	2026-09-22	MERGE	review	1	0	0	Merge pull request #7339 from superman2003/fix/openai-stream-error-status-field	backend/internal/service/openai_gateway_passthrough.go
de6388aec	2026-09-22	MERGE	review	1	0	0	Merge pull request #5443 from llissery/fix/vertex-429-cooldown	backend/internal/service/gemini_messages_compat_service.go
65f086d2d	2026-09-22	MERGE	review	1	0	0	Merge pull request #7479 from lzfxxx/fix/opencode-commandcode-cf1010	backend/internal/service/openai_gateway_passthrough.go
b0e32fe5b	2026-09-22	MERGE	review	1	0	0	Merge pull request #7427 from xlplbo/fix/openai-legacy-scheduler-decision	backend/internal/service/openai_account_scheduler.go
ba5737fe1	2026-09-22	VERBATIM	review	0	1	0	Merge pull request #7322 from ouchihao/codex/bug-ccswitch-antigravity-slash	frontend/src/utils/ccswitchImport.ts
fa9f104a9	2026-09-22	MERGE	review	1	0	0	Merge pull request #7169 from HuntercodeT/fix/gemini-mixed-model-listing	backend/internal/service/gateway_service.go
974a819ba	2026-09-22	REBUILD	review	0	1	0	Merge pull request #7108 from ouchihao/codex/bug-select-keyboard-focus	frontend/src/components/common/Select.vue
b12a187d4	2026-09-22	MERGE	review	1	0	0	Merge pull request #7097 from MHJoy99/contrib/upstream-5203-ping-filter	backend/internal/service/gateway_forward_as_chat_completions.go
583398d18	2026-09-22	MERGE	review	1	0	0	Merge pull request #7303 from little-greenbean/fix/upstream-response-close-lifecycle	backend/internal/repository/http_upstream.go
e26abaef7	2026-09-22	MERGE	review	2	0	0	Merge pull request #6473 from cxx-cod/pr/openai-stream-terminal-eof	backend/internal/service/openai_gateway_passthrough.go;backend/internal/service/openai_gateway_response_handling.go
13be6ca27	2026-09-22	MERGE	review	1	0	0	Merge pull request #7276 from cyhhao/fix/openai-keepalive-semantic-output	backend/internal/service/openai_gateway_passthrough.go
02d9901b4	2026-09-22	MERGE	review	3	0	0	Merge pull request #7038 from zenggang/contribute/gpt55-lite-compat	backend/internal/service/openai_gateway_forward.go;backend/internal/service/openai_gateway_passthrough.go;backend/internal/service/openai_ws_http_bridge.go
